Vértice,X,Y,Z
252,0.4737,13.5314,0.0000
253,0.2743,13.5110,0.0000
254,0.0701,13.4883,0.0000
255,-0.1367,13.4626,0.0000
256,-0.3443,13.4335,0.0000
257,-0.5504,13.4002,0.0000
258,-0.7531,13.3622,0.0000
259,-0.9503,13.3189,0.0000
260,-1.1400,13.2696,0.0000
261,-1.3200,13.2139,0.0000
262,-1.4884,13.1511,0.0000
263,-1.6430,13.0805,0.0000
264,-1.7819,13.0016,0.0000
265,-1.9237,12.9130,0.0000
266,-2.0876,12.8131,0.0000
267,-2.2719,12.7017,0.0000
268,-2.4751,12.5781,0.0000
269,-2.6957,12.4420,0.0000
270,-2.9319,12.2928,0.0000
271,-3.1823,12.1302,0.0000
272,-3.4454,11.9536,0.0000
273,-3.7194,11.7625,0.0000
274,-4.0029,11.5566,0.0000
275,-4.2944,11.3353,0.0000
276,-4.5921,11.0983,0.0000
277,-4.7401,10.9682,0.0000
278,-4.8865,10.8245,0.0000
279,-5.0343,10.6708,0.0000
280,-5.1864,10.5105,0.0000
281,-5.3454,10.3472,0.0000
282,-5.5144,10.1842,0.0000
283,-5.6962,10.0251,0.0000
284,-5.8936,9.8733,0.0000
285,-6.1095,9.7324,0.0000
286,-6.3468,9.6058,0.0000
287,-6.6083,9.4969,0.0000
288,-6.8968,9.4094,0.0000
289,-7.2220,9.3238,0.0000
290,-7.5852,9.2212,0.0000
291,-7.9768,9.1058,0.0000
292,-8.3876,8.9817,0.0000
293,-8.8081,8.8531,0.0000
294,-9.2287,8.7241,0.0000
295,-9.6402,8.5989,0.0000
296,-10.0329,8.4817,0.0000
297,-10.3976,8.3765,0.0000
298,-10.7248,8.2875,0.0000
299,-11.0050,8.2189,0.0000
300,-11.2288,8.1748,0.0000
301,-11.3779,8.1312,0.0000
302,-11.5031,8.0540,0.0000
303,-11.6077,7.9462,0.0000
304,-11.6954,7.8108,0.0000
305,-11.7696,7.6510,0.0000
306,-11.8339,7.4698,0.0000
307,-11.8917,7.2703,0.0000
308,-11.9466,7.0556,0.0000
309,-12.0022,6.8286,0.0000
310,-12.0618,6.5926,0.0000
311,-12.1291,6.3506,0.0000
312,-12.2076,6.1055,0.0000
313,-12.3020,5.8514,0.0000
314,-12.3956,5.6367,0.0000
315,-12.4900,5.4577,0.0000
316,-12.5869,5.3107,0.0000
317,-12.6880,5.1921,0.0000
318,-12.7949,5.0983,0.0000
319,-12.9094,5.0256,0.0000
320,-13.0331,4.9704,0.0000
321,-13.1677,4.9290,0.0000
322,-13.3150,4.8977,0.0000
323,-13.4765,4.8729,0.0000
324,-13.6540,4.8510,0.0000
325,-13.8549,4.8300,0.0000
326,-14.0372,4.8183,0.0000
327,-14.2034,4.8188,0.0000
328,-14.3554,4.8345,0.0000
329,-14.4956,4.8684,0.0000
330,-14.6262,4.9233,0.0000
331,-14.7494,5.0023,0.0000
332,-14.8674,5.1083,0.0000
333,-14.9823,5.2442,0.0000
334,-15.0965,5.4132,0.0000
335,-15.2121,5.6180,0.0000
336,-15.3314,5.8617,0.0000
337,-15.3961,5.9973,0.0000
338,-15.4674,6.1394,0.0000
339,-15.5437,6.2869,0.0000
340,-15.6237,6.4389,0.0000
341,-15.7057,6.5944,0.0000
342,-15.7884,6.7524,0.0000
343,-15.8702,6.9120,0.0000
344,-15.9495,7.0721,0.0000
345,-16.0250,7.2318,0.0000
346,-16.0951,7.3900,0.0000
347,-16.1583,7.5458,0.0000
348,-16.2131,7.6983,0.0000
349,-16.2629,7.8495,0.0000
350,-16.3126,8.0020,0.0000
351,-16.3630,8.1550,0.0000
352,-16.4150,8.3078,0.0000
353,-16.4695,8.4599,0.0000
354,-16.5274,8.6104,0.0000
355,-16.5894,8.7588,0.0000
356,-16.6565,8.9043,0.0000
357,-16.7294,9.0463,0.0000
358,-16.8092,9.1842,0.0000
359,-16.8966,9.3171,0.0000
360,-16.9925,9.4445,0.0000
361,-17.1599,9.6130,0.0000
362,-17.3385,9.7219,0.0000
363,-17.5294,9.7791,0.0000
364,-17.7338,9.7925,0.0000
365,-17.9527,9.7698,0.0000
366,-18.1872,9.7189,0.0000
367,-18.4383,9.6476,0.0000
368,-18.7073,9.5637,0.0000
369,-18.9951,9.4750,0.0000
370,-19.3029,9.3893,0.0000
371,-19.6317,9.3145,0.0000
372,-19.9826,9.2583,0.0000
373,-20.1824,9.2386,0.0000
374,-20.3988,9.2256,0.0002
375,-20.6273,9.2193,0.0004
376,-20.8637,9.2194,0.0007
377,-21.1036,9.2257,0.0009
378,-21.3429,9.2380,0.0013
379,-21.5771,9.2562,0.0016
380,-21.8020,9.2800,0.0019
381,-22.0132,9.3093,0.0021
382,-22.2064,9.3438,0.0023
383,-22.3774,9.3833,0.0025
384,-22.5219,9.4278,0.0025
385,-22.6378,9.4830,0.0025
386,-22.7277,9.5543,0.0023
387,-22.7946,9.6405,0.0021
388,-22.8412,9.7403,0.0019
389,-22.8703,9.8525,0.0016
390,-22.8847,9.9758,0.0013
391,-22.8872,10.1091,0.0009
392,-22.8806,10.2510,0.0007
393,-22.8677,10.4004,0.0004
394,-22.8513,10.5561,0.0002
395,-22.8342,10.7167,0.0000
396,-22.8192,10.8810,0.0000
397,-22.8119,11.0562,0.0000
398,-22.8158,11.2366,0.0000
399,-22.8284,11.4242,0.0000
400,-22.8472,11.6210,0.0000
401,-22.8699,11.8291,0.0000
402,-22.8940,12.0503,0.0000
403,-22.9171,12.2869,0.0000
404,-22.9369,12.5406,0.0000
405,-22.9507,12.8136,0.0000
406,-22.9564,13.1079,0.0000
407,-22.9513,13.4254,0.0000
408,-22.9332,13.7682,0.0000
409,-22.9027,14.1073,0.0000
410,-22.8623,14.4132,0.0000
411,-22.8125,14.6872,0.0000
412,-22.7534,14.9305,0.0000
413,-22.6854,15.1444,0.0000
414,-22.6087,15.3300,0.0000
415,-22.5237,15.4888,0.0000
416,-22.4306,15.6218,0.0000
417,-22.3298,15.7303,0.0000
418,-22.2216,15.8156,0.0000
419,-22.1061,15.8790,0.0000
