Vértice,X,Y,Z
293,-8.8747,9.1018,0.0000
294,-9.2975,8.9695,0.0000
295,-9.7111,8.8410,0.0000
296,-10.1060,8.7206,0.0000
297,-10.4725,8.6126,0.0000
298,-10.8011,8.5214,0.0000
299,-11.0822,8.4513,0.0000
300,-11.3064,8.4067,0.0000
301,-11.4581,8.3586,0.0000
302,-11.5903,8.2687,0.0000
303,-11.7056,8.1418,0.0000
304,-11.8067,7.9826,0.0000
305,-11.8961,7.7957,0.0000
306,-11.9764,7.5858,0.0000
307,-12.0504,7.3575,0.0000
308,-12.1205,7.1157,0.0000
309,-12.1894,6.8649,0.0000
310,-12.2598,6.6098,0.0000
311,-12.3341,6.3551,0.0000
312,-12.4151,6.1055,0.0000
313,-12.5104,5.8545,0.0000
314,-12.6056,5.6484,0.0000
315,-12.7012,5.4825,0.0000
316,-12.7977,5.3522,0.0000
317,-12.8954,5.2529,0.0000
318,-12.9949,5.1799,0.0000
319,-13.0966,5.1287,0.0000
320,-13.2009,5.0946,0.0000
321,-13.3084,5.0730,0.0000
322,-13.4194,5.0592,0.0000
323,-13.5345,5.0486,0.0000
324,-13.6540,5.0366,0.0000
325,-13.7905,5.0191,0.0000
326,-13.9241,5.0020,0.0000
327,-14.0550,4.9898,0.0000
328,-14.1836,4.9871,0.0000
329,-14.3102,4.9986,0.0000
330,-14.4351,5.0288,0.0000
331,-14.5586,5.0824,0.0000
332,-14.6811,5.1639,0.0000
333,-14.8029,5.2780,0.0000
334,-14.9243,5.4293,0.0000
335,-15.0456,5.6223,0.0000
336,-15.1672,5.8617,0.0000
337,-15.2322,5.9973,0.0000
338,-15.3046,6.1394,0.0000
339,-15.3825,6.2869,0.0000
340,-15.4645,6.4389,0.0000
341,-15.5488,6.5944,0.0000
342,-15.6338,6.7524,0.0000
343,-15.7180,6.9120,0.0000
344,-15.7996,7.0721,0.0000
345,-15.8771,7.2318,0.0000
346,-15.9487,7.3900,0.0000
347,-16.0130,7.5458,0.0000
348,-16.0682,7.6983,0.0000
349,-16.1169,7.8525,0.0000
350,-16.1635,8.0131,0.0000
351,-16.2093,8.1783,0.0000
352,-16.2554,8.3466,0.0000
353,-16.3033,8.5161,0.0000
354,-16.3541,8.6852,0.0000
355,-16.4091,8.8520,0.0000
356,-16.4696,9.0151,0.0000
357,-16.5367,9.1725,0.0000
358,-16.6118,9.3226,0.0000
359,-16.6962,9.4637,0.0000
360,-16.7910,9.5941,0.0000
361,-16.9623,9.7624,0.0000
362,-17.1518,9.8710,0.0000
363,-17.3593,9.9279,0.0000
364,-17.5845,9.9408,0.0000
365,-17.8269,9.9176,0.0000
366,-18.0864,9.8662,0.0000
367,-18.3625,9.7943,0.0000
368,-18.6550,9.7098,0.0000
369,-18.9636,9.6206,0.0000
370,-19.2879,9.5346,0.0000
371,-19.6277,9.4595,0.0000
372,-19.9826,9.4032,0.0000
373,-20.1811,9.3846,0.0000
374,-20.3938,9.3746,0.0002
375,-20.6167,9.3725,0.0004
376,-20.8458,9.3777,0.0007
377,-21.0772,9.3894,0.0009
378,-21.3068,9.4069,0.0013
379,-21.5308,9.4294,0.0016
380,-21.7452,9.4563,0.0019
381,-21.9459,9.4869,0.0021
382,-22.1291,9.5204,0.0023
383,-22.2909,9.5561,0.0025
384,-22.4271,9.5933,0.0025
385,-22.5355,9.6379,0.0025
386,-22.6182,9.6959,0.0023
387,-22.6785,9.7667,0.0021
388,-22.7192,9.8499,0.0019
389,-22.7435,9.9448,0.0016
390,-22.7544,10.0510,0.0013
391,-22.7550,10.1679,0.0009
392,-22.7482,10.2950,0.0007
393,-22.7373,10.4318,0.0004
394,-22.7251,10.5776,0.0002
395,-22.7149,10.7320,0.0000
396,-22.7095,10.8945,0.0000
